               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048031,            0.047698,                   0,             0.72292,             0.55202,             0.63713,             0.29047,            0.053082,            0.046165,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.045243,            0.045035,                   0,             0.73372,             0.58299,             0.64255,             0.29437,            0.052586,            0.045998,                   0,            0.095493,          0.00049293,          0.00049293
                   2,            0.049401,            0.051957,                   0,             0.74869,               0.573,             0.62177,             0.29605,            0.052862,            0.045853,                   0,            0.092777,          0.00077737,          0.00077737
                   3,            0.042479,            0.036361,                   0,             0.76934,              0.5773,             0.64539,             0.30034,            0.051994,            0.045891,                   0,            0.090053,           0.0010533,           0.0010533
                   4,            0.042976,            0.036038,                   0,             0.78575,             0.55769,             0.64127,             0.31157,            0.051886,            0.045799,                   0,            0.087321,           0.0013208,           0.0013208
                   5,            0.045768,            0.039228,                   0,             0.62968,             0.62136,             0.63729,             0.30142,            0.052694,            0.045563,                   0,             0.08458,           0.0015798,           0.0015798
                   6,            0.044833,            0.039682,                   0,             0.69136,             0.55769,             0.59539,             0.29307,            0.054178,            0.045212,                   0,             0.08183,           0.0018303,           0.0018303
                   7,            0.047827,            0.042742,                   0,             0.66917,             0.55769,             0.59403,              0.2928,            0.054145,            0.045288,                   0,            0.079072,           0.0020723,           0.0020723
                   8,            0.049588,            0.049181,                   0,             0.53067,             0.53846,             0.50697,             0.25524,            0.057532,            0.044861,                   0,            0.076306,           0.0023058,           0.0023058
                   9,            0.050326,            0.040908,                   0,             0.61489,             0.63462,             0.63218,              0.2504,            0.053334,             0.04599,                   0,            0.073531,           0.0025309,           0.0025309
                  10,            0.045629,            0.030335,                   0,              0.4581,             0.47154,             0.42705,             0.17637,            0.058015,            0.046608,                   0,            0.070747,           0.0027474,           0.0027474
                  11,            0.055277,            0.039499,                   0,             0.54149,             0.48077,              0.4838,             0.23404,            0.057708,             0.04715,                   0,            0.067956,           0.0029555,           0.0029555
                  12,              0.0518,              0.0449,                   0,             0.67083,             0.38462,             0.48555,             0.22735,            0.055483,            0.049309,                   0,            0.065155,           0.0031551,           0.0031551
                  13,             0.05294,             0.04108,                   0,             0.34729,              0.6242,              0.4265,              0.1527,            0.057991,            0.048759,                   0,            0.062346,           0.0033462,           0.0033462
                  14,            0.051542,            0.036984,                   0,             0.45984,             0.50759,             0.42692,             0.17116,            0.059269,            0.047821,                   0,            0.059529,           0.0035288,           0.0035288
                  15,            0.055746,            0.037968,                   0,             0.64745,             0.49453,             0.53869,             0.19834,            0.057947,            0.047821,                   0,            0.056703,           0.0037029,           0.0037029
                  16,            0.049862,            0.036152,                   0,              0.6766,                 0.5,             0.54255,             0.17568,            0.058633,            0.048172,                   0,            0.053869,           0.0038686,           0.0038686
                  17,            0.056654,            0.037067,                   0,             0.53376,             0.44231,             0.42644,             0.18427,            0.059507,            0.047401,                   0,            0.051026,           0.0040257,           0.0040257
                  18,            0.056698,            0.035492,                   0,             0.70445,             0.41269,             0.52371,             0.17546,             0.05925,            0.048393,                   0,            0.048174,           0.0041744,           0.0041744
                  19,            0.059575,            0.042257,                   0,             0.60437,             0.46154,             0.51378,              0.2142,            0.059576,             0.04789,                   0,            0.045315,           0.0043146,           0.0043146
                  20,            0.052409,            0.038958,                   0,             0.60885,             0.40385,             0.51566,             0.18046,            0.059098,            0.048706,                   0,            0.042446,           0.0044463,           0.0044463
                  21,            0.055792,            0.036123,                   0,             0.49231,             0.44231,             0.46528,              0.1915,            0.060146,            0.047897,                   0,             0.03957,           0.0045695,           0.0045695
                  22,            0.055099,            0.036761,                   0,              0.5235,             0.59164,             0.58925,             0.19866,            0.057632,            0.049515,                   0,            0.036684,           0.0046842,           0.0046842
                  23,            0.056758,            0.045264,                   0,             0.36609,             0.36652,               0.336,             0.13803,            0.064751,            0.046455,                   0,             0.03379,           0.0047905,           0.0047905
                  24,            0.057689,            0.034767,                   0,             0.88024,             0.40385,             0.55885,             0.21329,            0.055789,            0.049889,                   0,            0.030888,           0.0048882,           0.0048882
                  25,            0.050085,            0.032995,                   0,             0.46683,             0.38733,             0.38213,             0.15632,            0.063076,            0.046959,                   0,            0.027978,           0.0049775,           0.0049775
                  26,            0.058828,             0.03586,                   0,             0.89097,             0.42308,             0.59036,             0.21574,            0.056234,            0.048927,                   0,            0.025058,           0.0050583,           0.0050583
                  27,             0.05004,            0.037357,                   0,             0.59033,              0.4712,              0.4564,             0.18518,            0.059306,            0.047112,                   0,            0.022131,           0.0051306,           0.0051306
                  28,             0.05511,            0.039641,                   0,             0.59033,              0.4712,              0.4564,             0.18518,            0.059306,            0.047112,                   0,            0.019194,           0.0051944,           0.0051944
                  29,            0.057034,            0.044756,                   0,             0.59948,             0.55769,             0.58721,             0.22847,            0.054555,            0.047134,                   0,             0.01625,           0.0052497,           0.0052497
                  30,            0.053463,            0.039835,                   0,             0.37356,             0.42308,             0.31267,             0.11003,            0.063312,            0.044579,                   0,            0.013297,           0.0052966,           0.0052966
                  31,            0.059923,            0.039007,                   0,             0.49083,                 0.5,             0.46962,             0.21261,            0.055838,            0.047478,                   0,            0.010335,           0.0053349,           0.0053349
                  32,            0.051805,             0.03846,                   0,             0.49083,                 0.5,             0.46962,             0.21261,            0.055838,            0.047478,                   0,           0.0073648,           0.0053648,           0.0053648
                  33,            0.049673,            0.034939,                   0,             0.68059,             0.42308,             0.46756,             0.19697,            0.057353,            0.046066,                   0,           0.0053329,           0.0053329,           0.0053329
                  34,            0.055499,            0.033844,                   0,             0.48674,             0.36538,             0.32733,             0.13825,            0.062668,            0.045059,                   0,           0.0053329,           0.0053329,           0.0053329
                  35,            0.063015,            0.043973,                   0,             0.45301,             0.57692,             0.48569,              0.2082,            0.054795,            0.047867,                   0,           0.0051914,           0.0051914,           0.0051914
                  36,            0.049096,            0.035458,                   0,             0.45301,             0.57692,             0.48569,              0.2082,            0.054795,            0.047867,                   0,             0.00505,             0.00505,             0.00505
                  37,            0.049881,            0.044202,                   0,             0.51494,             0.51923,             0.45278,             0.21949,            0.056396,            0.048729,                   0,           0.0049086,           0.0049086,           0.0049086
                  38,            0.048107,            0.028584,                   0,             0.52362,                 0.5,             0.47471,             0.16667,            0.058049,            0.047913,                   0,           0.0047671,           0.0047671,           0.0047671
                  39,            0.053401,            0.035919,                   0,             0.66826,             0.46154,             0.53085,             0.25136,            0.054907,            0.047821,                   0,           0.0046257,           0.0046257,           0.0046257
                  40,            0.046834,            0.040331,                   0,             0.66826,             0.46154,             0.53085,             0.25136,            0.054907,            0.047821,                   0,           0.0044843,           0.0044843,           0.0044843
                  41,            0.043468,            0.040712,                   0,             0.72241,             0.59615,             0.62748,             0.28979,            0.053033,            0.047951,                   0,           0.0043429,           0.0043429,           0.0043429
                  42,            0.045261,            0.034173,                   0,              0.6269,             0.59615,             0.52484,             0.20851,            0.056273,            0.046844,                   0,           0.0042014,           0.0042014,           0.0042014
                  43,            0.048711,            0.029372,                   0,               0.679,              0.5696,             0.54808,             0.25605,            0.053816,            0.047371,                   0,             0.00406,             0.00406,             0.00406
                  44,              0.0466,            0.029808,                   0,               0.679,              0.5696,             0.54808,             0.25605,            0.053816,            0.047371,                   0,           0.0039186,           0.0039186,           0.0039186
                  45,            0.043513,            0.034311,                   0,             0.72111,             0.59615,             0.59615,             0.29688,             0.05147,            0.047791,                   0,           0.0037771,           0.0037771,           0.0037771
                  46,            0.045732,            0.032354,                   0,              0.6631,             0.51923,             0.49306,             0.20076,            0.056496,            0.047295,                   0,           0.0036357,           0.0036357,           0.0036357
                  47,            0.049698,            0.030914,                   0,             0.77281,             0.55769,             0.60291,             0.27859,            0.053601,            0.047829,                   0,           0.0034943,           0.0034943,           0.0034943
                  48,            0.043099,            0.036855,                   0,             0.77281,             0.55769,             0.60291,             0.27859,            0.053601,            0.047829,                   0,           0.0033529,           0.0033529,           0.0033529
                  49,            0.040043,             0.03152,                   0,             0.77586,             0.57692,             0.62036,             0.28756,            0.051959,            0.048805,                   0,           0.0032114,           0.0032114,           0.0032114
                  50,            0.042448,            0.035844,                   0,             0.71013,             0.56545,             0.56947,             0.25591,            0.053447,            0.048264,                   0,             0.00307,             0.00307,             0.00307
                  51,            0.042553,             0.03187,                   0,             0.74924,             0.57692,              0.6173,             0.27486,            0.052281,            0.048378,                   0,           0.0029286,           0.0029286,           0.0029286
                  52,            0.040889,            0.035333,                   0,             0.74924,             0.57692,              0.6173,             0.27486,            0.052281,            0.048378,                   0,           0.0027871,           0.0027871,           0.0027871
                  53,            0.041872,            0.039813,                   0,             0.73965,             0.60107,               0.625,             0.27189,            0.051946,             0.04882,                   0,           0.0026457,           0.0026457,           0.0026457
                  54,            0.045941,             0.04454,                   0,             0.76681,             0.56926,             0.59016,             0.26998,            0.051729,            0.049248,                   0,           0.0025043,           0.0025043,           0.0025043
                  55,            0.040567,            0.037972,                   0,             0.72234,             0.60044,             0.63339,             0.26197,            0.051717,            0.049057,                   0,           0.0023629,           0.0023629,           0.0023629
                  56,            0.038619,            0.030006,                   0,             0.72234,             0.60044,             0.63339,             0.26197,            0.051717,            0.049057,                   0,           0.0022214,           0.0022214,           0.0022214
                  57,            0.042389,             0.04129,                   0,             0.72729,             0.61544,             0.64759,             0.29574,            0.050983,            0.048882,                   0,             0.00208,             0.00208,             0.00208
                  58,            0.036245,            0.028826,                   0,             0.81228,             0.58261,             0.65396,             0.30108,            0.051214,             0.04879,                   0,           0.0019386,           0.0019386,           0.0019386
                  59,            0.040895,            0.042157,                   0,             0.83499,             0.59615,             0.66141,             0.31378,            0.050088,            0.049095,                   0,           0.0017971,           0.0017971,           0.0017971
                  60,            0.039181,            0.031076,                   0,             0.83499,             0.59615,             0.66141,             0.31378,            0.050088,            0.049095,                   0,           0.0016557,           0.0016557,           0.0016557
                  61,            0.034879,            0.029036,                   0,             0.85561,             0.59615,             0.66542,             0.32327,            0.049523,            0.049271,                   0,           0.0015143,           0.0015143,           0.0015143
                  62,            0.035644,             0.03472,                   0,             0.86094,             0.59533,             0.66606,             0.31401,            0.050024,            0.049171,                   0,           0.0013729,           0.0013729,           0.0013729
                  63,            0.036031,            0.031505,                   0,             0.86043,             0.59285,             0.65395,             0.32443,            0.050202,            0.049599,                   0,           0.0012314,           0.0012314,           0.0012314
                  64,            0.035306,            0.031741,                   0,             0.86043,             0.59285,             0.65395,             0.32443,            0.050202,            0.049599,                   0,             0.00109,             0.00109,             0.00109
                  65,            0.036604,             0.03313,                   0,             0.85213,             0.59615,              0.6569,             0.31239,             0.05026,             0.04966,                   0,          0.00094857,          0.00094857,          0.00094857
                  66,            0.037788,            0.043467,                   0,             0.85397,             0.59615,             0.65369,             0.31261,             0.05019,            0.049782,                   0,          0.00080714,          0.00080714,          0.00080714
                  67,            0.036393,            0.027255,                   0,              0.8397,             0.59615,             0.65343,             0.31121,            0.050443,            0.049995,                   0,          0.00066571,          0.00066571,          0.00066571
                  68,            0.034575,            0.031973,                   0,              0.8397,             0.59615,             0.65343,             0.31121,            0.050443,            0.049995,                   0,          0.00052429,          0.00052429,          0.00052429
                  69,             0.03479,             0.03328,                   0,             0.84021,             0.59615,             0.64989,             0.30519,            0.050439,             0.05024,                   0,          0.00038286,          0.00038286,          0.00038286
